"","simid","value","obsdeg","deg","obsespart","espart","obsdist","dist"
"0",1,1,0,0,0.00634920634920635,0.0622950819672131,0.220125786163522,0.0622950819672131
"0",2,1,0,0,0.00634920634920635,0.120689655172414,0.220125786163522,0.120689655172414
"0",3,1,0,0,0.00634920634920635,0.0488599348534202,0.220125786163522,0.0488599348534202
"0",4,1,0,0,0.00634920634920635,0.0924092409240924,0.220125786163522,0.0924092409240924
"0",5,1,0,0,0.00634920634920635,0.0903225806451613,0.220125786163522,0.0903225806451613
"0",6,1,0,0,0.00634920634920635,0.0888888888888889,0.220125786163522,0.0888888888888889
"0",7,1,0,0,0.00634920634920635,0.059190031152648,0.220125786163522,0.059190031152648
"0",8,1,0,0,0.00634920634920635,0.106666666666667,0.220125786163522,0.106666666666667
"0",9,1,0,0,0.00634920634920635,0.0878378378378378,0.220125786163522,0.0878378378378378
"0",10,1,0,0,0.00634920634920635,0.0762195121951219,0.220125786163522,0.0762195121951219
"0",11,1,0,0,0.00634920634920635,0.111888111888112,0.220125786163522,0.111888111888112
"0",12,1,0,0,0.00634920634920635,0.0492307692307692,0.220125786163522,0.0492307692307692
"0",13,1,0,0,0.00634920634920635,0.0513595166163142,0.220125786163522,0.0513595166163142
"0",14,1,0,0,0.00634920634920635,0.0841423948220065,0.220125786163522,0.0841423948220065
"0",15,1,0,0,0.00634920634920635,0.141447368421053,0.220125786163522,0.141447368421053
"0",16,1,0,0,0.00634920634920635,0.053156146179402,0.220125786163522,0.053156146179402
"0",17,1,0,0,0.00634920634920635,0.0547112462006079,0.220125786163522,0.0547112462006079
"0",18,1,0,0,0.00634920634920635,0.0787878787878788,0.220125786163522,0.0787878787878788
"0",19,1,0,0,0.00634920634920635,0.0524691358024691,0.220125786163522,0.0524691358024691
"0",20,1,0,0,0.00634920634920635,0.0952380952380952,0.220125786163522,0.0952380952380952
"0",21,1,0,0,0.00634920634920635,0.065359477124183,0.220125786163522,0.065359477124183
"0",22,1,0,0,0.00634920634920635,0.0526315789473684,0.220125786163522,0.0526315789473684
"0",23,1,0,0,0.00634920634920635,0.081570996978852,0.220125786163522,0.081570996978852
"0",24,1,0,0,0.00634920634920635,0.0506329113924051,0.220125786163522,0.0506329113924051
"0",25,1,0,0,0.00634920634920635,0.0424242424242424,0.220125786163522,0.0424242424242424
"0",26,1,0,0,0.00634920634920635,0.109271523178808,0.220125786163522,0.109271523178808
"0",27,1,0,0,0.00634920634920635,0.0670926517571885,0.220125786163522,0.0670926517571885
"0",28,1,0,0,0.00634920634920635,0.0577507598784195,0.220125786163522,0.0577507598784195
"0",29,1,0,0,0.00634920634920635,0.0416666666666667,0.220125786163522,0.0416666666666667
"0",30,1,0,0,0.00634920634920635,0.0966666666666667,0.220125786163522,0.0966666666666667
"1",1,2,0,0,0.0603174603174603,0.229508196721311,0.524807826694619,0.229508196721311
"1",2,2,0,0,0.0603174603174603,0.206896551724138,0.524807826694619,0.206896551724138
"1",3,2,0,0,0.0603174603174603,0.205211726384365,0.524807826694619,0.205211726384365
"1",4,2,0,0,0.0603174603174603,0.224422442244224,0.524807826694619,0.224422442244224
"1",5,2,0,0,0.0603174603174603,0.183870967741935,0.524807826694619,0.183870967741935
"1",6,2,0,0,0.0603174603174603,0.196825396825397,0.524807826694619,0.196825396825397
"1",7,2,0,0,0.0603174603174603,0.149532710280374,0.524807826694619,0.149532710280374
"1",8,2,0,0,0.0603174603174603,0.246666666666667,0.524807826694619,0.246666666666667
"1",9,2,0,0.0185185185185185,0.0603174603174603,0.199324324324324,0.524807826694619,0.199324324324324
"1",10,2,0,0,0.0603174603174603,0.195121951219512,0.524807826694619,0.195121951219512
"1",11,2,0,0,0.0603174603174603,0.22027972027972,0.524807826694619,0.22027972027972
"1",12,2,0,0,0.0603174603174603,0.206153846153846,0.524807826694619,0.206153846153846
"1",13,2,0,0,0.0603174603174603,0.166163141993958,0.524807826694619,0.166163141993958
"1",14,2,0,0,0.0603174603174603,0.245954692556634,0.524807826694619,0.245954692556634
"1",15,2,0,0,0.0603174603174603,0.236842105263158,0.524807826694619,0.236842105263158
"1",16,2,0,0,0.0603174603174603,0.199335548172757,0.524807826694619,0.199335548172757
"1",17,2,0,0,0.0603174603174603,0.148936170212766,0.524807826694619,0.148936170212766
"1",18,2,0,0,0.0603174603174603,0.16969696969697,0.524807826694619,0.16969696969697
"1",19,2,0,0,0.0603174603174603,0.160493827160494,0.524807826694619,0.160493827160494
"1",20,2,0,0,0.0603174603174603,0.187074829931973,0.524807826694619,0.187074829931973
"1",21,2,0,0,0.0603174603174603,0.251633986928105,0.524807826694619,0.251633986928105
"1",22,2,0,0,0.0603174603174603,0.160990712074303,0.524807826694619,0.160990712074303
"1",23,2,0,0,0.0603174603174603,0.123867069486405,0.524807826694619,0.123867069486405
"1",24,2,0,0.0185185185185185,0.0603174603174603,0.161392405063291,0.524807826694619,0.161392405063291
"1",25,2,0,0,0.0603174603174603,0.154545454545455,0.524807826694619,0.154545454545455
"1",26,2,0,0,0.0603174603174603,0.241721854304636,0.524807826694619,0.241721854304636
"1",27,2,0,0,0.0603174603174603,0.191693290734824,0.524807826694619,0.191693290734824
"1",28,2,0,0,0.0603174603174603,0.13677811550152,0.524807826694619,0.13677811550152
"1",29,2,0,0,0.0603174603174603,0.142857142857143,0.524807826694619,0.142857142857143
"1",30,2,0,0,0.0603174603174603,0.223333333333333,0.524807826694619,0.223333333333333
"2",1,3,0.111111111111111,0,0.0571428571428571,0.337704918032787,0.236198462613557,0.337704918032787
"2",2,3,0.111111111111111,0,0.0571428571428571,0.296551724137931,0.236198462613557,0.296551724137931
"2",3,3,0.111111111111111,0,0.0571428571428571,0.267100977198697,0.236198462613557,0.267100977198697
"2",4,3,0.111111111111111,0,0.0571428571428571,0.227722772277228,0.236198462613557,0.227722772277228
"2",5,3,0.111111111111111,0,0.0571428571428571,0.251612903225806,0.236198462613557,0.251612903225806
"2",6,3,0.111111111111111,0,0.0571428571428571,0.257142857142857,0.236198462613557,0.257142857142857
"2",7,3,0.111111111111111,0,0.0571428571428571,0.274143302180685,0.236198462613557,0.274143302180685
"2",8,3,0.111111111111111,0,0.0571428571428571,0.263333333333333,0.236198462613557,0.263333333333333
"2",9,3,0.111111111111111,0,0.0571428571428571,0.253378378378378,0.236198462613557,0.253378378378378
"2",10,3,0.111111111111111,0,0.0571428571428571,0.26219512195122,0.236198462613557,0.26219512195122
"2",11,3,0.111111111111111,0,0.0571428571428571,0.311188811188811,0.236198462613557,0.311188811188811
"2",12,3,0.111111111111111,0,0.0571428571428571,0.227692307692308,0.236198462613557,0.227692307692308
"2",13,3,0.111111111111111,0,0.0571428571428571,0.217522658610272,0.236198462613557,0.217522658610272
"2",14,3,0.111111111111111,0,0.0571428571428571,0.258899676375405,0.236198462613557,0.258899676375405
"2",15,3,0.111111111111111,0,0.0571428571428571,0.256578947368421,0.236198462613557,0.256578947368421
"2",16,3,0.111111111111111,0,0.0571428571428571,0.282392026578073,0.236198462613557,0.282392026578073
"2",17,3,0.111111111111111,0,0.0571428571428571,0.267477203647416,0.236198462613557,0.267477203647416
"2",18,3,0.111111111111111,0,0.0571428571428571,0.215151515151515,0.236198462613557,0.215151515151515
"2",19,3,0.111111111111111,0,0.0571428571428571,0.222222222222222,0.236198462613557,0.222222222222222
"2",20,3,0.111111111111111,0,0.0571428571428571,0.292517006802721,0.236198462613557,0.292517006802721
"2",21,3,0.111111111111111,0,0.0571428571428571,0.215686274509804,0.236198462613557,0.215686274509804
